customer_id,product_category,review
1,men's apparel,"Great fit and very comfortable. I highly recommend this shirt!"
2,women's apparel,"Love the fabric! It's so soft and the dress fits perfectly."
3,men's street footwear,"These shoes are stylish and provide excellent support."
4,women's street footwear,"I'm obsessed with these sneakers! They're so cute and comfy."
5,men's athletic footwear,"Perfect for running. Great cushioning and very responsive."
6,women's athletic footwear,"These sneakers give me great support during my workouts!"
7,men's apparel,"The quality is amazing, and the design is very modern."
8,women's apparel,"This is my new favorite dress. I get compliments every time I wear it!"
9,men's street footwear,"Very durable and look fantastic with jeans."
10,women's street footwear,"These are the most comfortable shoes I've ever owned!"
11,men's athletic footwear,"I've improved my performance since switching to these shoes."
12,women's athletic footwear,"Love the colors and the fit is perfect. Great for Zumba!"
13,men's apparel,"Excellent quality, true to size, and fast shipping."
14,women's apparel,"The dress is beautiful and the material feels luxurious."
15,men's street footwear,"Great value for the price. Very happy with this purchase."
16,women's street footwear,"These shoes are perfect for everyday wear. So versatile!"
17,men's athletic footwear,"Best athletic shoes I've ever bought. Highly recommend!"
18,women's athletic footwear,"These shoes are super light and comfortable. I love them!"
19,men's apparel,"The shirt is a bit tight, but overall good quality."
20,women's apparel,"The color is slightly different than pictured, but still pretty."
21,men's street footwear,"The shoes are okay, but the sole could be more comfortable."
22,women's street footwear,"These shoes are a bit narrow, but otherwise fine."
23,men's athletic footwear,"The shoes are good for the gym, but not for running."
24,women's athletic footwear,"These shoes are a bit stiff, but they look nice."
25,men's apparel,"This is a great shirt, fits well, and looks great."
26,women's apparel,"I love this dress! It's so flattering and comfortable."
27,men's street footwear,"These shoes are really comfortable and stylish."
28,women's street footwear,"These sneakers are perfect for casual wear."
29,men's athletic footwear,"These shoes provide excellent support for running."
30,women's athletic footwear,"I love these shoes for my workouts!"
31,men's apparel,"The fabric is really soft and feels great on the skin."
32,women's apparel,"This dress is perfect for any occasion."
33,men's street footwear,"These shoes are durable and long-lasting."
34,women's street footwear,"These shoes are both stylish and comfortable."
35,men's athletic footwear,"These shoes help me perform my best."
36,women's athletic footwear,"I feel great when I wear these shoes to the gym."
37,men's apparel,"I'm very happy with the quality of this shirt."
38,women's apparel,"This dress fits perfectly and looks amazing."
39,men's street footwear,"These shoes are a great value for the price."
40,women's street footwear,"These shoes are my go-to for everyday wear."
41,men's athletic footwear,"These shoes have improved my running experience."
